CoCoNuT,CURE,Recoder,SEQUENCER,DLFix,Prapr2,ACS,ARJA,AVATAR,Cardumem,DynaMoth,FixMiner,GenProg-A,jGenProg,jKali,jMutRepair,Kali-A,kPAR,Nopol,RSRepair-A,SimFix,TBar,capgen,elixir,hd_repair,jaid,sketchfix,ssfix,Tbar-68,AlphaRepair,RewardRepair,IncoderRepair,RewardRepair-2
Chart 1,Chart 1,Chart 1,Chart 1,Chart 1,Chart 1,Chart 14,Chart 12,Chart 11,Chart 11,Lang 46,Chart 11,Closure 115,Chart 12,Closure 115,Chart 1,Closure 115,Chart 14,Lang 46,Closure 115,Chart 1,Chart 11,Chart 1,Chart 1,Chart 1,Chart 1,Chart 1,Chart 20,Chart 1,Chart 1,Chart_1,Chart-1,JacksonXml_5(Identical)
Chart 9,Chart 11,Chart 3,Chart 9,Chart 11,Chart 8,Chart 19,Closure 115,Chart 19,Math 70,Lang 55,Chart 12,Closure 126,Closure 126,Closure 126,Closure 62,Closure 11,Chart 19,Math 50,Closure 126,Chart 20,Chart 12,Chart 8,Chart 8,Chart 8,Chart 9,Chart 8,Chart 24,Chart 11,Chart 8,Chart_11,Chart-11,JacksonDatabind_17(Identical)
Chart 11,Chart 12,Chart 8,Chart 11,Chart 20,Chart 11,Lang 24,Closure 126,Chart 1,,Math 50,Chart 19,Closure 21,Math 50,,Closure 63,Closure 126,Chart 1,,Closure 78,Chart 26,Chart 19,Chart 11,Chart 9,Closure 10,Chart 24,Chart 9,Closure 14,Chart 12,Chart 9,Chart_12,Chart-12,Codec_8(Identical)
Chart 12,Chart 14,Chart 9,Closure 18,Chart 24,Chart 12,Lang 7,Closure 78,Chart 24,,,Chart 1,Closure 78,Math 53,,Math 82,Closure 86,Chart 26,,Closure 86,Chart 7,Chart 1,Chart 24,Chart 11,Lang 6,Chart 26,Chart 11,Lang 21,Chart 14,Chart 11,Chart_24,Chart-20,Cli_19(Identical)
Chart 14,Chart 17,Chart 11,Closure 73,Chart 9,Chart 20,Math 25,Closure 86,Chart 26,,,Chart 24,Closure 86,Math 5,,Math 85,Math 50,Chart 4,,Lang 46,Closure 14,Chart 20,Lang 6,Math 5,Lang 10,Closure 18,Chart 20,Lang 33,Chart 19,Chart 24,Chart_9,Chart-24,JacksonCore_25(Identical)
Chart 24,Chart 20,Chart 20,Closure 86,Closure 10,Chart 24,Math 35,Lang 46,Chart 4,,,Chart 26,Lang 43,Math 70,,,,Chart 8,,Math 50,Closure 19,Chart 24,Lang 26,Math 30,Lang 43,Closure 31,Chart 24,Lang 43,Chart 20,Closure 10,Closure_1,Chart-8,JxPath_16(Identical)
Chart 26,Chart 24,Chart 24,Lang 6,Closure 115,Chart 26,Math 3,Math 22,Closure 115,,,Chart 4,Math 50,,,,,Closure 10,,Math 58,Closure 57,Chart 26,Lang 43,Math 33,Lang 51,Closure 33,Closure 14,Lang 59,Chart 24,Closure 18,Closure_10,Closure-109,JacksonDatabind_99(Identical)
Closure 18,Chart 26,Chart 26,Lang 59,Closure 126,Closure 10,Math 4,Math 50,Closure 11,,,Closure 10,Math 70,,,,,Closure 115,,Math 5,Closure 62,Chart 4,Lang 57,Math 34,Lang 57,Closure 40,Closure 62,Lang 6,Chart 26,Closure 31,Closure_101,Closure-11,Compress_31(Identical)
Closure 31,Chart 8,Closure 2,Math 30,Closure 14,Closure 11,Math 5,Math 58,Closure 126,,,Closure 13,,,,,,Closure 11,,Math 70,Closure 63,Chart 8,Lang 59,Math 50,Lang 59,Closure 62,Closure 126,Math 33,Chart 4,Closure 57,Closure_104,Closure-125,Jsoup_52(Identical)
Closure 38,Chart 9,Closure 14,Math 57,Closure 18,Closure 14,Math 61,Math 70,Closure 2,,,Closure 2,,,,,,Closure 126,,,Closure 68,Chart 9,Math 5,Math 57,Math 5,Closure 63,Lang 6,Math 41,Chart 8,Closure 62,Closure_11,Closure-126,Jsoup_68(Identical)
