Project,DefectId,DeprecatedDefectId,FileCount,LineCount,RelevantTestCount,TriggeringTestCount,StatementCoverage,TimeToFix,Versions,Priority,Dependents,Reproducibility,ChangesType,ChangesMethodSignature,ChangesMethodCallArgs,AddsMethodCall,ChangesCondition,AddsVariable,AddsIfStmt,AddsLoop,AddsMethod,IssueReportLink,BugOrFeature,IsRegression,PatchFound:AE,PatchFound:GenProgC,PatchFound:TrpAutoRepair,PatchFound:KaliC,PatchFound:SPR,PatchFound:Prophet,PatchQuality:AE,PatchQuality:GenProgC,PatchQuality:TrpAutoRepair,PatchQuality:KaliC,PatchQuality:SPR,PatchQuality:Prophet
fbc,5251-5252,5251-5252,10,57,442,2,NA,NA,NA,NA,NA,NA,0,0,1,0,1,1,0,0,0,NA,feature,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
fbc,5458-5459,5458-5459,1,2,470,1,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,NA,bug,0,1,1,0,1,1,1,plausible,plausible,NA,plausible,plausible,correct
fbc,5556-5557,5556-5557,1,1,472,1,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,NA,bug,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
gmp,13420-13421,13420-13421,1,7,143,3,65.26,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,NA,bug,0,0,0,0,0,1,1,NA,NA,NA,NA,correct,correct
gmp,14166-14167,14166-14167,1,1,145,1,81.67,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,NA,bug,0,1,1,1,1,1,1,plausible,plausible,plausible,plausible,plausible,plausible
gzip,2009-08-16-3fe0caeada-39a362ae9d,3fe0caeada6aa3-39a362ae9d9b00,1,4,3,1,54.37,NA,2,2,NA,NA,0,0,1,0,0,0,0,0,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=507263,bug,0,1,0,1,1,1,1,plausible,NA,plausible,plausible,plausible,plausible
gzip,2009-09-26-a1d3d4019d-f17cbd13a1,a1d3d4019ddd22-f17cbd13a1d0a7,1,1,4,1,24.78,NA,1,NA,NA,NA,0,0,0,1,0,0,0,0,0,http://www.mail-archive.com/bug-gzip@gnu.org/msg00213.html,bug,0,1,0,0,0,1,1,plausible,NA,NA,NA,correct,correct
gzip,2009-10-09-1a085b1446-118a107f2d,1a085b1446a23b-118a107f2d3ae5,1,5,6,1,34.06,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,0,NA,bug,0,0,1,0,0,0,0,NA,plausible,NA,NA,NA,NA
gzip,2010-01-30-fc00329e3d-1204630c96,fc00329e3dc139-1204630c96e0c3,2,19,8,1,43.32,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,0,0,NA,feature,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
gzip,2010-02-19-3eb6091d69-884ef6d16c,3eb6091d69a-884ef6d16c6,1,3,9,1,41.55,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,0,0,NA,bug,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
libtiff,2005-12-14-6746b87-0d3d51d,10a4985-5362170,1,46,35,2,21.57,NA,NA,NA,NA,NA,0,0,0,1,1,1,1,1,0,NA,bug,1,1,1,1,0,0,0,plausible,plausible,plausible,NA,NA,NA
libtiff,2005-12-21-3b848a7-3edb9cd,d13be72c-ccadf48a,1,1,35,2,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,NA,bug,0,1,1,1,1,1,1,plausible,plausible,plausible,plausible,plausible,correct
libtiff,2005-12-27-6f76e76-5dac30f,29a9d93-b8aa549,8,604,35,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,0,NA,bug,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
libtiff,2006-02-23-b2ce5d8-207c78a,a2f7abf-ce76d31,1,5,35,1,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,0,http://bugzilla.remotesensing.org/show_bug.cgi?id=1088 (doesn’t work),bug,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
libtiff,2006-02-27-6074705-e6d0c32,8f6338a-4c5a9ec,1,67,36,1,42.42,NA,NA,NA,NA,NA,0,0,1,1,0,1,1,1,1,http://bugzilla.remotesensing.org/show_bug.cgi?id=1044 (doesn’t work),feature,0,1,1,1,1,0,0,plausible,plausible,plausible,plausible,NA,NA
libtiff,2006-03-03-a72cf60-0a36d7f,3af26048-72391804,1,1,36,5,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,NA,bug,0,1,1,1,0,0,0,plausible,plausible,plausible,NA,NA,NA
libtiff,2006-03-03-eec4c06-ee65c74,0860361d-1ba75257,1,8,36,5,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,http://bugzilla.remotesensing.org/show_bug.cgi?id=1102 (doesn’t work),bug,1,1,1,1,0,1,1,plausible,plausible,plausible,NA,plausible,plausible
libtiff,2007-07-08-bd2f947-ccc10c7,cb57a69f-740a6187,11,56,60,44,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,0,0,0,NA,bug,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
libtiff,2007-07-08-c766cb7-0cc95fb,b675f33d-5d9d496d,11,215,60,44,NA,NA,NA,NA,NA,NA,1,0,1,1,1,0,0,0,0,NA,feature,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
libtiff,2007-07-13-09e8220-f2d989d,031c6a9b-14f51686,1,3,61,1,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,0,0,NA,bug,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
libtiff,2007-07-19-ce4b7af-7d6e298,4a24508-cc79c2b,1,7,61,2,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,NA,bug,1,1,1,1,0,0,0,plausible,plausible,plausible,NA,NA,NA
libtiff,2007-08-24-827b6bc-22da1d6,6f9f4d7-73757f3,1,20,61,2,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,0,0,NA,bug,0,1,1,1,0,0,0,plausible,plausible,plausible,NA,NA,NA
libtiff,2007-11-02-371336d-865f7b2,0661f81-ac6a583,1,2,61,1,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,NA,bug,1,1,1,1,1,0,0,plausible,plausible,plausible,plausible,NA,NA
libtiff,2007-11-23-82e378c-cf05a83,5e6542ee-e779b6cd,5,15,61,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1,0,1,0,0,NA,bug,0,1,1,1,0,0,0,plausible,plausible,plausible,NA,NA,NA
libtiff,2008-04-15-2e8b2f1-0d27dc0,806c4c9-366216b,1,1,62,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,NA,bug,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
libtiff,2008-09-05-d59e7df-5f42dba,34285ec-b0492c2,1,6,63,1,63.6,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,NA,bug,0,0,0,0,1,0,0,plausible,NA,NA,plausible,NA,NA
libtiff,2008-12-30-362dee5-565eaa2,ed4969a-8a184dc,2,20,64,1,NA,NA,NA,NA,NA,NA,1,0,0,1,1,1,0,0,0,NA,bug,0,1,1,1,0,0,0,plausible,plausible,plausible,NA,NA,NA
